week(year)_vsl,CN-MY,Year,Week,Date
20181250,208,2018,50,2018-12-10
20181251,253,2018,51,2018-12-17
20181252,280,2018,52,2018-12-24
20190101,287,2019,1,2019-01-01
20190102,281,2019,2,2019-01-07
20190103,284,2019,3,2019-01-14
20190104,297,2019,4,2019-01-21
20190205,289,2019,5,2019-01-28
20190206,263,2019,6,2019-02-04
20190207,318,2019,7,2019-02-11
20190208,307,2019,8,2019-02-18
20190309,284,2019,9,2019-02-25
20190310,279,2019,10,2019-03-04
20190311,278,2019,11,2019-03-11
20190312,278,2019,12,2019-03-18
20190313,277,2019,13,2019-03-25
20190414,261,2019,14,2019-04-01
20190415,274,2019,15,2019-04-08
20190416,254,2019,16,2019-04-15
20190417,231,2019,17,2019-04-22
20190518,223,2019,18,2019-04-29
20190519,237,2019,19,2019-05-06
20190520,229,2019,20,2019-05-13
20190521,219,2019,21,2019-05-20
20190622,228,2019,22,2019-05-27
20190623,217,2019,23,2019-06-03
20190624,248,2019,24,2019-06-10
20190625,218,2019,25,2019-06-17
20190626,221,2019,26,2019-06-24
20190727,236,2019,27,2019-07-01
20190728,215,2019,28,2019-07-08
20190729,212,2019,29,2019-07-15
20190730,200,2019,30,2019-07-22
20190831,193,2019,31,2019-07-29
20190832,187,2019,32,2019-08-05
20190833,170,2019,33,2019-08-12
20190834,179,2019,34,2019-08-19
20190935,158,2019,35,2019-08-26
20190936,210,2019,36,2019-09-02
20190937,217,2019,37,2019-09-09
20190938,199,2019,38,2019-09-16
20190939,198,2019,39,2019-09-23
20191040,187,2019,40,2019-09-30
20191041,223,2019,41,2019-10-07
20191042,201,2019,42,2019-10-14
20191043,236,2019,43,2019-10-21
20191144,257,2019,44,2019-10-28
20191145,284,2019,45,2019-11-04
20191146,277,2019,46,2019-11-11
20191147,300,2019,47,2019-11-18
20191248,292,2019,48,2019-11-25
20191249,302,2019,49,2019-12-02
20191250,320,2019,50,2019-12-09
20191251,291,2019,51,2019-12-16
20191252,318,2019,52,2019-12-23
20200101,320,2020,1,2020-01-01
20200102,337,2020,2,2020-01-06
20200103,348,2020,3,2020-01-13
20200104,324,2020,4,2020-01-20
20200205,231,2020,5,2020-01-27
20200206,320,2020,6,2020-02-03
20200207,360,2020,7,2020-02-10
20200208,345,2020,8,2020-02-17
20200309,322,2020,9,2020-02-24
20200310,333,2020,10,2020-03-02
20200311,333,2020,11,2020-03-09
20200312,336,2020,12,2020-03-16
20200313,347,2020,13,2020-03-23
20200414,345,2020,14,2020-03-30
20200415,332,2020,15,2020-04-06
20200416,303,2020,16,2020-04-13
20200417,262,2020,17,2020-04-20
20200518,233,2020,18,2020-04-27
20200519,226,2020,19,2020-05-04
20200520,216,2020,20,2020-05-11
20200521,211,2020,21,2020-05-18
20200622,214,2020,22,2020-05-25
20200623,212,2020,23,2020-06-01
20200624,200,2020,24,2020-06-08
20200625,182,2020,25,2020-06-15
20200626,167,2020,26,2020-06-22
20200727,179,2020,27,2020-06-29
20200728,170,2020,28,2020-07-06
20200729,187,2020,29,2020-07-13
20200730,178,2020,30,2020-07-20
20200831,176,2020,31,2020-07-27
20200832,206,2020,32,2020-08-03
20200833,208,2020,33,2020-08-10
20200834,212,2020,34,2020-08-17
20200935,210,2020,35,2020-08-24
20200936,246,2020,36,2020-08-31
20200937,258,2020,37,2020-09-07
20200938,271,2020,38,2020-09-14
20200939,286,2020,39,2020-09-21
20201040,272,2020,40,2020-09-28
20201041,282,2020,41,2020-10-05
20201042,272,2020,42,2020-10-12
20201043,308,2020,43,2020-10-19
20201144,390,2020,44,2020-10-26
20201145,464,2020,45,2020-11-02
20201146,727,2020,46,2020-11-09
20201147,862,2020,47,2020-11-16
20201248,916,2020,48,2020-11-23
20201249,892,2020,49,2020-11-30
20201250,863,2020,50,2020-12-07
20201251,904,2020,51,2020-12-14
20201252,940,2020,52,2020-12-21
20210101,940,2021,1,2021-01-01
20210102,924,2021,2,2021-01-04
20210103,942,2021,3,2021-01-11
20210104,915,2021,4,2021-01-18
20210105,905,2021,5,2021-01-25
20210206,896,2021,6,2021-02-01
20210207,840,2021,7,2021-02-08
20210208,878,2021,8,2021-02-15
20210209,940,2021,9,2021-02-22
20210310,804,2021,10,2021-03-01
