Week,Vsl_Voy,EST,JBT,OBT,Total,Year,Week,
2018-40,KTJ 1810S,974,101,269,1344,2018,40,2018-10-01
2018-41,KHM 1811S,728,142,941,1811,2018,41,2018-10-08
2018-42,KQD 1811S,895,123,704,1722,2018,42,2018-10-15
2018-43,EBS 1811S,951,147,797,1895,2018,43,2018-10-22
2018-44,KTJ 1811S,770,153,787,1710,2018,44,2018-10-29
2018-45,KHM 1812S,917,86,723,1726,2018,45,2018-11-05
2018-46,KQD 1812S,856,129,713,1698,2018,46,2018-11-12
2018-47,KSZ 1812S,780,122,823,1725,2018,47,2018-11-19
2018-48,KTJ 1812S,823,135,848,1806,2018,48,2018-11-26
2018-49,KHM 1813S,847,95,769,1711,2018,49,2018-12-03
2018-50,KQD 1813S,911,79,683,1673,2018,50,2018-12-10
2018-51,KSZ 1813S,828,25,810,1663,2018,51,2018-12-17
2018-52,KTJ 1813S,859,75,780,1714,2018,52,2018-12-24
2019-01,KHM 1901S,715,48,954,1717,2019,01,2019-01-01
2019-02,KQD 1901S,800,76,785,1661,2019,02,2019-01-07
2019-03,KSZ 1901S,846,8,733,1587,2019,03,2019-01-14
2019-04,KTJ 1901S,787,141,819,1747,2019,04,2019-01-21
2019-05,KHM 1902S,787,173,639,1599,2019,05,2019-01-28
2019-06,KQD 1902S,911,97,73,1081,2019,06,2019-02-04
2019-07,KSZ 1902S,945,129,679,1753,2019,07,2019-02-11
2019-08,KTJ 1902S,813,220,656,1689,2019,08,2019-02-18
2019-09,KHM 1903S,863,159,611,1633,2019,09,2019-02-25
2019-10,KQD 1903S,720,228,806,1754,2019,10,2019-03-04
2019-11,KSZ 1903S,708,170,685,1563,2019,11,2019-03-11
2019-12,KTJ 1903S,789,214,764,1767,2019,12,2019-03-18
2019-13,KHM 1904S,823,205,757,1785,2019,13,2019-03-25
2019-14,KQD 1904S,850,162,711,1723,2019,14,2019-04-01
2019-15,KSZ 1904S,618,287,718,1623,2019,15,2019-04-08
2019-16,KTJ 1904S,814,46,632,1492,2019,16,2019-04-15
2019-17,KHM 1905S,799,263,776,1838,2019,17,2019-04-22
2019-18,KQD 1905S,659,108,524,1291,2019,18,2019-04-29
2019-19,KSZ 1905S,497,172,739,1408,2019,19,2019-05-06
2019-20,BAR 1901S,714,209,772,1695,2019,20,2019-05-13
2019-21,KHM 1906S,692,101,715,1508,2019,21,2019-05-20
2019-22,KQD 1906S,801,212,777,1790,2019,22,2019-05-27
2019-23,KSZ 1906S,692,156,811,1659,2019,23,2019-06-03
2019-24,KTJ 1906S,680,328,826,1834,2019,24,2019-06-10
2019-25,KHM 1907S,752,270,796,1818,2019,25,2019-06-17
2019-26,KQD 1907S,894,278,749,1921,2019,26,2019-06-24
2019-27,KSZ 1907S,622,296,709,1627,2019,27,2019-07-01
2019-28,KTJ 1907S,660,324,726,1710,2019,28,2019-07-08
2019-29,KHM 1908S,720,255,812,1787,2019,29,2019-07-15
2019-30,KQD 1908S,790,248,804,1842,2019,30,2019-07-22
2019-31,KSZ 1908S,704,227,698,1629,2019,31,2019-07-29
2019-32,KTJ 1908S,580,293,844,1717,2019,32,2019-08-05
2019-33,KHM 1909S,753,218,752,1723,2019,33,2019-08-12
2019-34,KQD 1909S,573,16,698,1287,2019,34,2019-08-19
2019-35,KSZ 1909S,849,173,826,1848,2019,35,2019-08-26
2019-36,KTJ 1909S,752,199,733,1684,2019,36,2019-09-02
2019-37,KHM 1910S,653,194,798,1645,2019,37,2019-09-09
2019-38,KQD 1910S,529,103,842,1474,2019,38,2019-09-16
2019-39,KSZ 1910S,830,100,948,1878,2019,39,2019-09-23
2019-40,KTJ 1910S,739,265,525,1529,2019,40,2019-09-30
2019-41,KHM 1911S,779,67,859,1705,2019,41,2019-10-07
2019-42,KQD 1911S,712,257,795,1764,2019,42,2019-10-14
2019-43,KSZ 1911S,764,235,799,1798,2019,43,2019-10-21
2019-44,KTJ 1911S,710,262,728,1700,2019,44,2019-10-28
2019-45,KHM 1912S,837,134,777,1748,2019,45,2019-11-04
2019-46,KQD 1912S,830,284,748,1862,2019,46,2019-11-11
2019-47,KSZ 1912S,816,173,755,1744,2019,47,2019-11-18
2019-48,KTJ 1912S,786,180,803,1769,2019,48,2019-11-25
2019-49,KHM 1913S,776,227,686,1689,2019,49,2019-12-02
2019-50,KQD 1913S,859,178,802,1839,2019,50,2019-12-09
2019-51,KSZ 1913S,687,320,824,1831,2019,51,2019-12-16
2019-52,KTJ 1913S,940,226,802,1968,2019,52,2019-12-23
2020-01,KHM 1914S,747,192,802,1741,2020,01,2020-01-01
2020-02,KQD 2001S,647,90,874,1611,2020,02,2020-01-06
2020-03,KSZ 2001S,797,74,963,1834,2020,03,2020-01-13
2020-04,KTJ 2001S,886,263,608,1757,2020,04,2020-01-20
