Week,CN,JP,KR,Total,Year,Week,Date
16-3,629,0,595,1224,2016,3,2016-01-11
16-4,808,32,399,1239,2016,4,2016-01-18
16-5,682,19,447,1148,2016,5,2016-01-25
16-6,670,40,494,1204,2016,6,2016-02-01
16-8,661,26,446,1133,2016,8,2016-02-15
16-9,710,113,870,1693,2016,9,2016-02-22
16-10,751,119,279,1149,2016,10,2016-02-29
16-11,662,90,451,1203,2016,11,2016-03-07
16-12,737,78,455,1270,2016,12,2016-03-14
2016-13,676,153,553,1382,2016,13,2016-03-21
2016-14,845,126,765,1736,2016,14,2016-03-28
2016-15,896,125,444,1465,2016,15,2016-04-04
2016-16,848,89,457,1394,2016,16,2016-04-11
2016-17,750,143,561,1454,2016,17,2016-04-18
2016-18,787,139,804,1730,2016,18,2016-04-25
2016-19,767,118,543,1428,2016,19,2016-05-02
2016-20,817,105,505,1427,2016,20,2016-05-09
2016-21,865,62,632,1559,2016,21,2016-05-16
2016-22,901,106,674,1681,2016,22,2016-05-23
2016-23,812,78,584,1474,2016,23,2016-05-30
2016-24,734,122,566,1422,2016,24,2016-06-06
2016-25,962,100,949,2011,2016,25,2016-06-13
2016-26,675,65,505,1245,2016,26,2016-06-20
2016-27,846,103,768,1717,2016,27,2016-06-27
2016-28,801,128,537,1466,2016,28,2016-07-04
2016-29,783,137,483,1403,2016,29,2016-07-11
2016-30,703,145,552,1400,2016,30,2016-07-18
2016-31,821,124,557,1502,2016,31,2016-07-25
2016-32,713,118,444,1275,2016,32,2016-08-01
2016-33,714,73,591,1378,2016,33,2016-08-08
2016-34,834,189,389,1412,2016,34,2016-08-15
2016-35,825,77,510,1412,2016,35,2016-08-22
2016-36,746,65,595,1406,2016,36,2016-08-29
2016-37,765,165,533,1463,2016,37,2016-09-05
2016-38,742,97,538,1377,2016,38,2016-09-12
2016-39,733,152,574,1459,2016,39,2016-09-19
2016-40,760,130,650,1540,2016,40,2016-09-26
2016-41,345,195,589,1129,2016,41,2016-10-03
2016-42,752,158,512,1422,2016,42,2016-10-10
2016-43,810,80,572,1462,2016,43,2016-10-17
2016-44,646,108,670,1424,2016,44,2016-10-24
2016-45,844,176,433,1453,2016,45,2016-10-31
2016-46,816,103,470,1389,2016,46,2016-11-07
2016-47,825,113,619,1557,2016,47,2016-11-14
2016-48,762,105,581,1448,2016,48,2016-11-21
2016-49,875,99,440,1414,2016,49,2016-11-28
2016-50,674,101,610,1385,2016,50,2016-12-05
2016-51,772,121,424,1317,2016,51,2016-12-12
2016-52,764,117,522,1403,2016,52,2016-12-19
2016-53,819,89,688,1596,2016,53,2016-12-26
17-1,988,125,570,1683,2017,1,2017-01-01
17-2,864,45,577,1486,2017,2,2017-01-02
17-3,796,12,490,1298,2017,3,2017-01-09
17-4,425,71,966,1462,2017,4,2017-01-16
17-6,871,177,499,1547,2017,6,2017-01-30
17-7,760,193,620,1573,2017,7,2017-02-06
17-8,845,125,665,1635,2017,8,2017-02-13
17-9,784,207,460,1451,2017,9,2017-02-20
17-10,812,150,615,1577,2017,10,2017-02-27
17-11,783,192,637,1612,2017,11,2017-03-06
17-12,864,150,462,1476,2017,12,2017-03-13
2017-13,802,202,509,1513,2017,13,2017-03-20
2017-14,865,133,576,1574,2017,14,2017-03-27
2017-15,791,117,646,1554,2017,15,2017-04-03
2017-16,830,66,597,1493,2017,16,2017-04-10
2017-17,775,154,729,1658,2017,17,2017-04-17
2017-18,736,98,554,1388,2017,18,2017-04-24
2017-19,777,89,593,1459,2017,19,2017-05-01
2017-20,912,91,693,1696,2017,20,2017-05-08
2017-21,788,150,659,1597,2017,21,2017-05-15
2017-22,778,163,536,1477,2017,22,2017-05-22
2017-23,731,72,555,1358,2017,23,2017-05-29
2017-24,711,37,565,1313,2017,24,2017-06-05
2017-25,844,89,646,1579,2017,25,2017-06-12
2017-26,767,77,777,1621,2017,26,2017-06-19
2017-27,677,109,590,1376,2017,27,2017-06-26
2017-28,783,95,554,1432,2017,28,2017-07-03
2017-29,663,38,613,1314,2017,29,2017-07-10
2017-30,725,50,550,1325,2017,30,2017-07-17
2017-31,652,117,636,1405,2017,31,2017-07-24
2017-32,659,125,643,1427,2017,32,2017-07-31
2017-33,717,83,572,1372,2017,33,2017-08-07
2017-34,789,27,643,1459,2017,34,2017-08-14
2017-35,703,118,563,1384,2017,35,2017-08-21
2017-36,742,60,700,1502,2017,36,2017-08-28
2017-37,745,133,614,1492,2017,37,2017-09-04
2017-38,727,29,840,1596,2017,38,2017-09-11
2017-39,750,228,648,1626,2017,39,2017-09-18
2017-41,737,177,620,1534,2017,41,2017-10-02
2017-42,707,135,658,1500,2017,42,2017-10-09
2017-43,693,95,755,1543,2017,43,2017-10-16
2017-44,688,136,710,1534,2017,44,2017-10-23
2017-45,695,56,801,1552,2017,45,2017-10-30
2017-46,768,105,627,1500,2017,46,2017-11-06
2017-47,711,145,613,1469,2017,47,2017-11-13
2017-48,734,103,520,1357,2017,48,2017-11-20
2017-49,691,120,795,1606,2017,49,2017-11-27
2017-50,609,111,720,1440,2017,50,2017-12-04
2017-51,894,56,685,1635,2017,51,2017-12-11
2017-52,853,164,575,1592,2017,52,2017-12-18
18-1,733,73,686,1492,2018,1,2018-01-01
18-2,787,130,669,1586,2018,2,2018-01-08
18-3,810,10,840,1660,2018,3,2018-01-15
18-4,804,87,809,1700,2018,4,2018-01-22
18-5,690,103,511,1304,2018,5,2018-01-29
18-6,962,99,821,1882,2018,6,2018-02-05
18-7,190,119,813,1122,2018,7,2018-02-12
18-8,180,124,699,1003,2018,8,2018-02-19
18-9,814,154,618,1586,2018,9,2018-02-26
18-10,813,99,864,1776,2018,10,2018-03-05
18-11,802,35,834,1671,2018,11,2018-03-12
18-12,870,140,659,1669,2018,12,2018-03-19
2018-13,788,79,714,1581,2018,13,2018-03-26
2018-14,632,134,954,1720,2018,14,2018-04-02
2018-15,762,120,716,1598,2018,15,2018-04-09
2018-16,683,86,812,1581,2018,16,2018-04-16
2018-17,767,125,539,1431,2018,17,2018-04-23
2018-18,746,139,733,1618,2018,18,2018-04-30
2018-19,816,43,950,1809,2018,19,2018-05-07
2018-20,831,134,711,1676,2018,20,2018-05-14
2018-21,741,159,992,1892,2018,21,2018-05-21
2018-22,718,65,626,1409,2018,22,2018-05-28
2018-23,729,88,796,1613,2018,23,2018-06-04
2018-24,697,63,823,1583,2018,24,2018-06-11
2018-25,674,46,946,1666,2018,25,2018-06-18
2018-26,720,206,914,1840,2018,26,2018-06-25
2018-27,710,163,1170,2043,2018,27,2018-07-02
2018-28,767,174,805,1746,2018,28,2018-07-09
2018-29,749,226,793,1768,2018,29,2018-07-16
2018-30,909,33,748,1690,2018,30,2018-07-23
2018-31,730,97,772,1599,2018,31,2018-07-30
2018-32,783,213,630,1626,2018,32,2018-08-06
2018-33,750,145,557,1452,2018,33,2018-08-13
2018-34,743,39,653,1435,2018,34,2018-08-20
2018-35,755,49,912,1716,2018,35,2018-08-27
2018-36,737,102,786,1625,2018,36,2018-09-03
2018-37,763,106,936,1805,2018,37,2018-09-10
2018-38,878,109,973,1960,2018,38,2018-09-17
2018-39,896,72,747,1715,2018,39,2018-09-24
2018-40,266,95,837,1198,2018,40,2018-10-01
2018-41,919,59,721,1699,2018,41,2018-10-08
2018-42,685,123,828,1636,2018,42,2018-10-15
2018-43,776,147,912,1835,2018,43,2018-10-22
2018-44,770,135,763,1668,2018,44,2018-10-29
2018-45,706,78,1018,1802,2018,45,2018-11-05
2018-46,698,104,853,1655,2018,46,2018-11-12
2018-47,801,114,780,1695,2018,47,2018-11-19
2018-48,825,101,790,1716,2018,48,2018-11-26
2018-49,758,108,897,1763,2018,49,2018-12-03
2018-50,670,75,772,1517,2018,50,2018-12-10
2018-51,789,15,743,1547,2018,51,2018-12-17
2018-52,773,112,821,1706,2018,52,2018-12-24
19-1,924,94,580,1598,2019,1,2019-01-01
19-2,753,88,779,1620,2019,2,2019-01-07
19-3,707,10,759,1476,2019,3,2019-01-14
19-4,790,140,786,1716,2019,4,2019-01-21
19-5,643,173,809,1625,2019,5,2019-01-28
19-7,675,351,878,1904,2019,7,2019-02-11
19-8,647,343,856,1846,2019,8,2019-02-18
19-9,595,172,767,1534,2019,9,2019-02-25
19-10,783,244,672,1699,2019,10,2019-03-04
19-11,673,235,614,1522,2019,11,2019-03-11
19-12,756,216,908,1880,2019,12,2019-03-18
2019-13,729,226,967,1922,2019,13,2019-03-25
2019-14,700,166,775,1641,2019,14,2019-04-01
2019-15,708,335,526,1569,2019,15,2019-04-08
2019-16,613,63,678,1354,2019,16,2019-04-15
2019-17,748,271,719,1738,2019,17,2019-04-22
2019-18,506,95,606,1207,2019,18,2019-04-29
2019-19,723,198,418,1339,2019,19,2019-05-06
2019-20,745,320,593,1658,2019,20,2019-05-13
2019-21,682,75,452,1209,2019,21,2019-05-20
2019-22,765,210,791,1766,2019,22,2019-05-27
2019-23,797,154,616,1567,2019,23,2019-06-03
2019-24,809,319,564,1692,2019,24,2019-06-10
2019-25,784,257,714,1755,2019,25,2019-06-17
2019-26,742,278,812,1832,2019,26,2019-06-24
2019-27,696,322,598,1616,2019,27,2019-07-01
2019-28,703,312,590,1605,2019,28,2019-07-08
2019-29,796,233,664,1693,2019,29,2019-07-15
2019-30,785,226,712,1723,2019,30,2019-07-22
2019-31,687,372,680,1739,2019,31,2019-07-29
2019-32,822,291,487,1600,2019,32,2019-08-05
2019-33,726,212,651,1589,2019,33,2019-08-12
2019-34,650,16,457,1123,2019,34,2019-08-19
2019-35,803,150,584,1537,2019,35,2019-08-26
2019-36,717,197,797,1711,2019,36,2019-09-02
2019-37,784,183,552,1519,2019,37,2019-09-09
2019-38,824,99,466,1389,2019,38,2019-09-16
2019-39,920,240,792,1952,2019,39,2019-09-23
2019-40,513,320,668,1501,2019,40,2019-09-30
2019-41,867,48,575,1490,2019,41,2019-10-07
2019-42,768,287,690,1745,2019,42,2019-10-14
2019-43,786,229,677,1692,2019,43,2019-10-21
2019-44,721,249,833,1803,2019,44,2019-10-28
2019-45,748,124,788,1660,2019,45,2019-11-04
2019-46,712,155,726,1593,2019,46,2019-11-11
2019-47,724,177,647,1548,2019,47,2019-11-18
2019-48,783,175,698,1656,2019,48,2019-11-25
2019-49,681,236,655,1572,2019,49,2019-12-02
2019-50,790,142,701,1633,2019,50,2019-12-09
2019-51,785,328,575,1688,2019,51,2019-12-16
2019-52,782,252,943,1977,2019,52,2019-12-23
20-1,795,277,686,1758,2020,1,2020-01-01
20-2,846,90,517,1453,2020,2,2020-01-06
20-3,931,84,753,1768,2020,3,2020-01-13
20-4,585,252,683,1520,2020,4,2020-01-20
20-6,174,80,956,1210,2020,6,2020-02-03
20-7,336,128,709,1173,2020,7,2020-02-10
20-8,524,81,797,1402,2020,8,2020-02-17
20-9,632,129,894,1655,2020,9,2020-02-24
20-10,734,346,607,1687,2020,10,2020-03-02
20-11,855,218,708,1781,2020,11,2020-03-09
20-12,798,131,963,1892,2020,12,2020-03-16
2020-13,774,189,736,1699,2020,13,2020-03-23
2020-14,763,125,569,1457,2020,14,2020-03-30
2020-15,574,90,551,1215,2020,15,2020-04-06
2020-16,535,45,606,1186,2020,16,2020-04-13
2020-17,644,146,559,1349,2020,17,2020-04-20
2020-18,844,156,410,1410,2020,18,2020-04-27
2020-19,764,258,579,1601,2020,19,2020-05-04
2020-20,786,31,572,1389,2020,20,2020-05-11
2020-21,866,57,503,1426,2020,21,2020-05-18
2020-22,832,125,588,1545,2020,22,2020-05-25
2020-23,581,101,650,1332,2020,23,2020-06-01
2020-24,671,68,582,1321,2020,24,2020-06-08
2020-25,664,40,527,1231,2020,25,2020-06-15
2020-26,726,72,683,1481,2020,26,2020-06-22
2020-27,685,89,432,1206,2020,27,2020-06-29
2020-28,708,197,608,1513,2020,28,2020-07-06
2020-29,737,114,643,1494,2020,29,2020-07-13
2020-30,816,94,691,1601,2020,30,2020-07-20
2020-31,946,97,621,1664,2020,31,2020-07-27
2020-32,809,174,684,1667,2020,32,2020-08-03
2020-33,929,148,632,1709,2020,33,2020-08-10
2020-34,1013,100,563,1676,2020,34,2020-08-17
2020-35,828,128,809,1765,2020,35,2020-08-24
2020-36,777,122,728,1627,2020,36,2020-08-31
2020-37,827,364,736,1927,2020,37,2020-09-07
2020-38,777,185,771,1733,2020,38,2020-09-14
2020-39,818,323,866,2007,2020,39,2020-09-21
2020-40,795,235,718,1748,2020,40,2020-09-28
2020-41,716,208,379,1303,2020,41,2020-10-05
2020-42,545,36,953,1534,2020,42,2020-10-12
2020-43,931,193,890,2014,2020,43,2020-10-19
2020-44,847,215,738,1800,2020,44,2020-10-26
