Year_Week,SHA_AVG,SCFI_PKG,KR_AVG,JP_AVG,Year,Week,Date
21-7,1273,1046,840,867,2021,7,2021-02-08
21-8,1244,1027,856,939,2021,8,2021-02-15
21-9,1297,1003,988,905,2021,9,2021-02-22
21-10,1294,952,942,873,2021,10,2021-03-01
21-11,1254,915,848,898,2021,11,2021-03-08
21-12,1201,871,853,916,2021,12,2021-03-15
2021-13,1090,848,848,957,2021,13,2021-03-22
2021-14,1042,827,994,970,2021,14,2021-03-29
2021-15,1035,840,862,988,2021,15,2021-04-05
2021-16,1033,826,867,1030,2021,16,2021-04-12
2021-17,1008,832,877,1024,2021,17,2021-04-19
2021-18,998,854,916,1007,2021,18,2021-04-26
2021-19,1063,873,1172,1037,2021,19,2021-05-03
2021-20,1066,900,869,1037,2021,20,2021-05-10
2021-21,1085,911,861,1021,2021,21,2021-05-17
2021-22,1100,893,907,1029,2021,22,2021-05-24
2021-23,1105,868,912,1012,2021,23,2021-05-31
2021-24,1034,855,898,980,2021,24,2021-06-07
2021-25,1013,846,857,999,2021,25,2021-06-14
2021-26,1044,846,939,1009,2021,26,2021-06-21
2021-27,986,827,991,949,2021,27,2021-06-28
2021-28,1023,819,940,1032,2021,28,2021-07-05
2021-29,949,814,964,1028,2021,29,2021-07-12
2021-30,881,811,999,1022,2021,30,2021-07-19
2021-31,890,808,1059,1057,2021,31,2021-07-26
2021-32,911,830,983,1029,2021,32,2021-08-02
2021-33,891,831,1040,1034,2021,33,2021-08-09
2021-34,978,841,1098,1002,2021,34,2021-08-16
2021-35,1026,866,957,1016,2021,35,2021-08-23
2021-36,1060,876,1079,1022,2021,36,2021-08-30
2021-37,1150,911,1026,1033,2021,37,2021-09-06
2021-38,1050,936,947,1011,2021,38,2021-09-13
2021-39,1120,937,1089,1062,2021,39,2021-09-20
2021-40,1154,923,1043,1061,2021,40,2021-09-27
2021-41,1172,913,1091,1039,2021,41,2021-10-04
2021-42,1144,906,1136,1028,2021,42,2021-10-11
2021-43,1106,911,1086,1066,2021,43,2021-10-18
2021-44,1129,925,1057,1030,2021,44,2021-10-25
2021-45,1127,967,1119,1020,2021,45,2021-11-01
2021-46,1184,1003,1111,1073,2021,46,2021-11-08
2021-47,1219,1191,1208,1064,2021,47,2021-11-15
2021-48,1418,1301,1165,1059,2021,48,2021-11-22
2021-49,1447,1433,1172,1088,2021,49,2021-11-29
2021-50,1674,1544,1098,1118,2021,50,2021-12-06
2021-51,1738,1606,1015,1084,2021,51,2021-12-13
2021-52,1885,1631,1259,1067,2021,52,2021-12-20
2021-53,1939,1678,1410,1100,2021,53,2021-12-27
22-1,1941,1655,1627,1218,2022,1,2022-01-03
22-2,1955,1653,1627,1319,2022,2,2022-01-10
22-3,1899,1611,1624,1309,2022,3,2022-01-17
22-4,1826,1544,1571,1309,2022,4,2022-01-24
22-5,1750,1476,1673,1294,2022,5,2022-01-31
22-6,1615,1368,1621,1297,2022,6,2022-02-07
22-7,1563,1216,1633,1328,2022,7,2022-02-14
22-8,1427,1158,1697,1285,2022,8,2022-02-21
22-9,1321,1132,1579,1343,2022,9,2022-02-28
22-10,1367,1110,1629,1349,2022,10,2022-03-07
22-11,1302,1056,1624,1394,2022,11,2022-03-14
22-12,1258,1035,1555,1297,2022,12,2022-03-21
2022-13,1235,1020,1691,1313,2022,13,2022-03-28
